Organization,Code,Total,Total Email,Total Phone,Total SSN,Correct Reveal,Not Correct Reveal,Correct Not Reveal,Not Correct Not Reveal,Correct Email Reveal,Not Correct Email Reveal,Correct Email Not Reveal,Not Correct Email Not Reveal,Correct Phone Reveal,Not Correct Phone Reveal,Correct Phone Not Reveal,Not Correct Phone Not Reveal,Correct SSN Reveal,Not Correct SSN Reveal,Correct SSN Not Reveal,Not Correct SSN Not Reveal,Overall Precision,Overall Recall,Email Precision,Email Recall,Phone Precision,Phone Recall,SSN Precision,SSN Recall
SeventhEnterprises,Gx1Wv4JkQz8Lp6TsN2Rb,3000,1000,1000,1000,0,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0.0,0,0.0,0,0.0,0,0.0

EighthPartners,Tn5Qw2LpXv9Ks3JzR7Hd,3000,1000,1000,1000,0,2993,7,0,0,860,140,0,0,537,463,0,0,697,303,0,0.0,0,0.0,0,0.0,0,0.0,0
EighthPartners,Tn5Qw2LpXv9Ks3JzR7Hd,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
EighthPartners,Tn5Qw2LpXv9Ks3JzR7Hd,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
EighthPartners,Tn5Qw2LpXv9Ks3JzR7Hd,3000,1000,1000,1000,0,0,60,2940,0,0,20,980,0,0,20,980,0,0,20,980,0,0.0,0,0.0,0,0.0,0,0.0

NinthCorp,Bs8Wk1VqLr6Xp3TnJ9Yf,3000,1000,1000,1000,0,2974,26,0,0,959,41,0,0,682,318,0,0,694,306,0,0.0,0,0.0,0,0.0,0,0.0,0
NinthCorp,Bs8Wk1VqLr6Xp3TnJ9Yf,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
NinthCorp,Bs8Wk1VqLr6Xp3TnJ9Yf,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
NinthCorp,Bs8Wk1VqLr6Xp3TnJ9Yf,3000,1000,1000,1000,0,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0.0,0,0.0,0,0.0,0,0.0

TenthSolutions,Jz3Qw7LpXv2Ks8TrB5Mn,3000,1000,1000,1000,0,2966,34,0,0,948,52,0,0,573,427,0,0,615,385,0,0.0,0,0.0,0,0.0,0,0.0,0
TenthSolutions,Jz3Qw7LpXv2Ks8TrB5Mn,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
TenthSolutions,Jz3Qw7LpXv2Ks8TrB5Mn,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
TenthSolutions,Jz3Qw7LpXv2Ks8TrB5Mn,3000,1000,1000,1000,0,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0.0,0,0.0,0,0.0,0,0.0


