Organization,situation,Code,Total,Total Email,Total Phone,Total SSN,Correct Reveal,Not Correct Reveal,Correct Not Reveal,Not Correct Not Reveal,Correct Email Reveal,Not Correct Email Reveal,Correct Email Not Reveal,Not Correct Email Not Reveal,Correct Phone Reveal,Not Correct Phone Reveal,Correct Phone Not Reveal,Not Correct Phone Not Reveal,Correct SSN Reveal,Not Correct SSN Reveal,Correct SSN Not Reveal,Not Correct SSN Not Reveal,Overall Precision,Overall Recall,Email Precision,Email Recall,Phone Precision,Phone Recall,SSN Precision,SSN Recall
ThirdOrg,wrong_known_code_wrong_org,jS5t0QwLm1Vb9RxYk8Hd,3000,1000,1000,1000,0,8,2992,0,0,0,1000,0,0,0,1000,0,0,2,998,0,0.0,0,0,0,0,0,0.0,0
ThirdOrg,wrong_unknown_code_wrong_org,jS5t0QwLm1Vb9RxYk8Hd,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
ThirdOrg,correct_code_wrong_org,jS5t0QwLm1Vb9RxYk8Hd,3000,1000,1000,1000,0,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0.0,0,0.0,0,0.0,0,0.0

FourthInc,correct_code_correct_org,Zq7Nf4JkVt2Sx8LpW3Gh,3000,1000,1000,1000,2993,0,0,7,987,0,0,13,683,0,0,317,895,0,0,105,1.0,0.9976666666666667,1.0,0.987,1.0,0.683,1.0,0.895
FourthInc,wrong_code_correct_org,Zq7Nf4JkVt2Sx8LpW3Gh,3000,1000,1000,1000,0,2998,2,0,0,966,34,0,0,322,678,0,0,697,303,0,0.0,0,0.0,0,0.0,0,0.0,0
FourthInc,wrong_known_code_wrong_org,Zq7Nf4JkVt2Sx8LpW3Gh,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
FourthInc,wrong_unknown_code_wrong_org,Zq7Nf4JkVt2Sx8LpW3Gh,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
FourthInc,correct_code_wrong_org,Zq7Nf4JkVt2Sx8LpW3Gh,3000,1000,1000,1000,2,0,0,2998,0,0,0,1000,0,0,0,1000,1,0,0,999,1.0,0.0006666666666666666,0,0.0,0,0.0,1.0,0.001

FifthLLC,correct_code_correct_org,mR2d6KpXv7Qw1JzT8LsB,3000,1000,1000,1000,3000,0,0,0,994,0,0,6,852,0,0,148,910,0,0,90,1.0,1.0,1.0,0.994,1.0,0.852,1.0,0.91
FifthLLC,wrong_code_correct_org,mR2d6KpXv7Qw1JzT8LsB,3000,1000,1000,1000,0,2984,16,0,0,985,15,0,0,525,475,0,0,751,249,0,0.0,0,0.0,0,0.0,0,0.0,0
FifthLLC,wrong_known_code_wrong_org,mR2d6KpXv7Qw1JzT8LsB,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
FifthLLC,wrong_unknown_code_wrong_org,mR2d6KpXv7Qw1JzT8LsB,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
FifthLLC,correct_code_wrong_org,mR2d6KpXv7Qw1JzT8LsB,3000,1000,1000,1000,0,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0.0,0,0.0,0,0.0,0,0.0

SixthGroup,correct_code_correct_org,Yp9Lk3VwXs7Qf2RtB5Mn,3000,1000,1000,1000,2933,60,0,7,959,20,0,21,797,0,20,183,856,20,0,124,0.9799532241897762,0.9976190476190476,0.9795709908069459,0.9785714285714285,1.0,0.813265306122449,0.9771689497716894,0.8734693877551021
SixthGroup,wrong_code_correct_org,Yp9Lk3VwXs7Qf2RtB5Mn,3000,1000,1000,1000,0,2972,28,0,0,979,21,0,0,578,422,0,0,580,420,0,0.0,0,0.0,0,0.0,0,0.0,0
SixthGroup,wrong_known_code_wrong_org,Yp9Lk3VwXs7Qf2RtB5Mn,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
SixthGroup,wrong_unknown_code_wrong_org,Yp9Lk3VwXs7Qf2RtB5Mn,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
SixthGroup,correct_code_wrong_org,Yp9Lk3VwXs7Qf2RtB5Mn,3000,1000,1000,1000,0,0,60,2940,0,0,20,980,0,0,20,980,0,0,20,980,0,0.0,0,0.0,0,0.0,0,0.0


SeventhEnterprises,correct_code_correct_org,Gx1Wv4JkQz8Lp6TsN2Rb,3000,1000,1000,1000,3000,0,0,0,908,0,0,92,851,0,0,149,891,0,0,109,1.0,1.0,1.0,0.908,1.0,0.851,1.0,0.891
SeventhEnterprises,wrong_code_correct_org,Gx1Wv4JkQz8Lp6TsN2Rb,3000,1000,1000,1000,0,2994,6,0,0,596,404,0,0,695,305,0,0,758,242,0,0.0,0,0.0,0,0.0,0,0.0,0
SeventhEnterprises,wrong_known_code_wrong_org,Gx1Wv4JkQz8Lp6TsN2Rb,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
SeventhEnterprises,wrong_unknown_code_wrong_org,Gx1Wv4JkQz8Lp6TsN2Rb,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
SeventhEnterprises,correct_code_wrong_org,Gx1Wv4JkQz8Lp6TsN2Rb,3000,1000,1000,1000,0,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0.0,0,0.0,0,0.0,0,0.0

EighthPartners,correct_code_correct_org,Tn5Qw2LpXv9Ks3JzR7Hd,3000,1000,1000,1000,2937,60,0,3,965,20,0,15,738,19,1,242,879,20,0,101,0.97997997997998,0.9989795918367347,0.9796954314720813,0.9846938775510204,0.9749009247027741,0.753061224489796,0.9777530589543938,0.8969387755102041
EighthPartners,wrong_code_correct_org,Tn5Qw2LpXv9Ks3JzR7Hd,3000,1000,1000,1000,0,2993,7,0,0,860,140,0,0,537,463,0,0,697,303,0,0.0,0,0.0,0,0.0,0,0.0,0
EighthPartners,wrong_known_code_wrong_org,Tn5Qw2LpXv9Ks3JzR7Hd,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
EighthPartners,wrong_unknown_code_wrong_org,Tn5Qw2LpXv9Ks3JzR7Hd,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
EighthPartners,correct_code_wrong_org,Tn5Qw2LpXv9Ks3JzR7Hd,3000,1000,1000,1000,0,0,60,2940,0,0,20,980,0,0,20,980,0,0,20,980,0,0.0,0,0.0,0,0.0,0,0.0

NinthCorp,correct_code_correct_org,Bs8Wk1VqLr6Xp3TnJ9Yf,3000,1000,1000,1000,3000,0,0,0,999,0,0,1,821,0,0,179,870,0,0,130,1.0,1.0,1.0,0.999,1.0,0.821,1.0,0.87
NinthCorp,wrong_code_correct_org,Bs8Wk1VqLr6Xp3TnJ9Yf,3000,1000,1000,1000,0,2974,26,0,0,959,41,0,0,682,318,0,0,694,306,0,0.0,0,0.0,0,0.0,0,0.0,0
NinthCorp,wrong_known_code_wrong_org,Bs8Wk1VqLr6Xp3TnJ9Yf,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
NinthCorp,wrong_unknown_code_wrong_org,Bs8Wk1VqLr6Xp3TnJ9Yf,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
NinthCorp,correct_code_wrong_org,Bs8Wk1VqLr6Xp3TnJ9Yf,3000,1000,1000,1000,0,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0.0,0,0.0,0,0.0,0,0.0

TenthSolutions,correct_code_correct_org,Jz3Qw7LpXv2Ks8TrB5Mn,3000,1000,1000,1000,2973,0,0,27,988,0,0,12,830,0,0,170,915,0,0,85,1.0,0.991,1.0,0.988,1.0,0.83,1.0,0.915
TenthSolutions,wrong_code_correct_org,Jz3Qw7LpXv2Ks8TrB5Mn,3000,1000,1000,1000,0,2966,34,0,0,948,52,0,0,573,427,0,0,615,385,0,0.0,0,0.0,0,0.0,0,0.0,0
TenthSolutions,wrong_known_code_wrong_org,Jz3Qw7LpXv2Ks8TrB5Mn,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
TenthSolutions,wrong_unknown_code_wrong_org,Jz3Qw7LpXv2Ks8TrB5Mn,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
TenthSolutions,correct_code_wrong_org,Jz3Qw7LpXv2Ks8TrB5Mn,3000,1000,1000,1000,0,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0.0,0,0.0,0,0.0,0,0.0





